metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1724962502,1.000000,,,,true,::exemple post,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_duration,1724962502,190.890000,,,,true,::exemple post,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_blocked,1724962502,469.216000,,,,true,::exemple post,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_connecting,1724962502,139.574000,,,,true,::exemple post,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_tls_handshaking,1724962502,278.875000,,,,true,::exemple post,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_sending,1724962502,3.623000,,,,true,::exemple post,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_waiting,1724962502,182.343000,,,,true,::exemple post,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_receiving,1724962502,4.924000,,,,true,::exemple post,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
http_req_failed,1724962502,0.000000,,,,true,::exemple post,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,tipo=busca-todos,
checks,1724962502,1.000000,is status 200,,,,::exemple post,,meu-test,,default,,,,,,,
group_duration,1724962502,670.199584,,,,,::exemple post,,meu-test,,default,,,,,,,
http_reqs,1724962502,1.000000,,,,true,::exemple post id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,,
http_req_duration,1724962502,141.983000,,,,true,::exemple post id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,,
http_req_blocked,1724962502,0.004000,,,,true,::exemple post id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,,
http_req_connecting,1724962502,0.000000,,,,true,::exemple post id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,,
http_req_tls_handshaking,1724962502,0.000000,,,,true,::exemple post id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,,
http_req_sending,1724962502,0.027000,,,,true,::exemple post id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,,
http_req_waiting,1724962502,140.657000,,,,true,::exemple post id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,,
http_req_receiving,1724962502,1.299000,,,,true,::exemple post id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,,
http_req_failed,1724962502,0.000000,,,,true,::exemple post id,GET,meu-test,HTTP/1.1,default,,301,,tls1.3,meu-test,,
http_reqs,1724962502,1.000000,,,,true,::exemple post id,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,,
http_req_duration,1724962502,159.145000,,,,true,::exemple post id,GET,meu-test,HTTP/1.1,default,,200,,tls1.3,meu-test,,
